ESTADO,BANCO_VENCEDOR,VALOR_FINAL,VALOR_PARCELA,QTD_PARCELA,CARENCIA,TAXA_CLIENTE,VALOR_TOTAL_PAGAR,SPREAD_EFETIVO
RO,Sol Agora,34866.6,1671.7,36.0,150.0,2.2,60181.200000000004,0.0
BA,Sol Agora,5539.91,359.41,30.0,150.0,1.9,10782.300000000001,0.0
PR,Santander,25883.31,862.78,30.0,90.0,1.9,25883.399999999998,0.0
SP,Omni,12979.17,634.5,36.0,90.0,2.39,22842.0,0.0
RO,Sol Agora,26386.89,1285.08,36.0,150.0,2.2,46262.88,0.0
PE,Omni,10114.25,505.38,36.0,90.0,2.39,18193.68,0.0
AC,Sol Agora,18342.18,769.92,48.0,150.0,2.2,36956.159999999996,0.0
RS,Sol Agora,12219.27,602.06,36.0,150.0,1.9,21674.159999999996,0.0
SP,Sol Agora,8799.83,455.2,36.0,150.0,1.9,16387.2,0.0
MT,Sol Agora,14237.37,657.94,48.0,150.0,2.5,31581.120000000003,0.0
MG,Sol Agora,8147.99,527.12,36.0,150.0,2.98,18976.32,0.0
RO,Sol Agora,29231.51,1389.69,37.0,150.0,2.2,51418.53,0.0
BA,Sol Agora,10349.97,553.91,36.0,150.0,2.2,19940.76,0.0
SP,Santander,52650.0,1696.33,48.0,90.0,1.63,81423.84,0.0
PR,BV,46204.26,1622.0,48.0,90.0,1.57,77856.0,-0.07999999999999985
RS,Santander,29439.0,1057.91,48.0,90.0,1.95,50779.68000000001,0.0
SP,Santander,22187.31,739.58,30.0,90.0,1.9,22187.4,0.0
MT,Santander,19458.79,1522.59,18.0,90.0,2.05,27406.62,-0.4500000000000002
BA,Omni,10114.25,505.38,36.0,90.0,2.39,18193.68,0.0
MT,BV,12944.67,597.0,36.0,90.0,2.66,21492.0,0.0
SP,Sol Agora,28683.91,1715.2,25.0,150.0,1.9,42880.0,0.0
BA,Sol Agora,5539.91,229.4,60.0,150.0,1.9,13764.0,0.0
MT,Sol Agora,8898.24,380.31,48.0,150.0,1.9,18254.88,0.0
RN,Sol Agora,33821.58,1688.01,36.0,150.0,2.2,60768.36,0.0
PE,Sol Agora,8147.99,480.93,36.0,150.0,2.5,17313.48,0.0
CE,Santander,11856.57,450.71,60.0,90.0,2.12,27042.6,0.0
PE,Sol Agora,9406.25,541.76,36.0,150.0,2.5,19503.36,0.0
AC,Sol Agora,20378.57,1072.26,36.0,150.0,2.5,38601.36,0.0
MS,Sol Agora,9450.0,351.62,60.0,150.0,1.9,21097.2,0.0
BA,Sol Agora,10349.97,521.78,36.0,150.0,1.9,18784.079999999998,0.0
BA,Santander,6592.77,264.74,60.0,90.0,2.08,15884.400000000001,0.18000000000000016
MT,BV,10349.97,504.49,36.0,90.0,1.95,18161.64,0.0
MT,Sol Agora,19565.0,569.19,84.0,150.0,1.9,47811.96000000001,0.0
SP,BV,12522.0,588.22,36.0,90.0,1.95,21175.920000000002,0.050000000000000044
MT,Sol Agora,18500.77,634.53,60.0,150.0,1.9,38071.799999999996,0.0
MA,Santander,31330.06,1206.15,48.0,90.0,2.27,57895.200000000004,0.0
GO,Santander,13437.5,447.92,30.0,90.0,2.7,13437.6,0.8000000000000003
MT,Sol Agora,11651.97,650.34,36.0,150.0,2.5,23412.24,0.0
